Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Berrett-Koehler Publishers,Traditional,Oakland CA,USA,"Business, personal growth, current affairs",bkpub@bkpub.com,(510) 817-2277,"1333 Broadway Suite 1000, Oakland CA 94612",bkconnection.com,submissions@bkpub.com,40-50,Some via RBmedia,High,"Mission-driven publisher. Strong platform"
Greenleaf Book Group,Hybrid,Austin TX,USA,"Business, entrepreneurship, self-improvement",contact@greenleafbookgroup.com,(512) 891-6100,"PO Box 91869, Austin TX 78709",greenleafbookgroup.com,submissions@greenleafbookgroup.com,40-60,Some,High,"70+ NYT/WSJ bestsellers"
Amplify Publishing Group,Hybrid,Herndon VA,USA,"Business, politics, self-help, technology",info@amplifypublishing.com,(703) 437-3584,"620 Herndon Parkway Suite 220, Herndon VA 20170",amplifypublishinggroup.com,info@amplifypublishing.com,50-80,Some,High,"85% royalty rate"
BenBella Books,Traditional,Dallas TX,USA,"Business/finance, health/nutrition, nonfiction",glenn@benbellabooks.com,(214) 750-3600,"10300 N Central Expy Suite 530, Dallas TX",benbellabooks.com,Via website only,40,Some,High,"Distributed by S&S"
Mango Publishing,Traditional,Miami FL,USA,"Innovation, technology, marketing, management",chris@mango.bz,(305) 428-2299,"5966 S. Dixie Hwy Suite 300, South Miami FL 33143",mango.bz,Via Submittable,40-60,Yes via Ascent,Medium,"High royalties, no advances"
Kogan Page,Traditional,London/NYC,UK/USA,"Business, management, HR, marketing, finance",kpinfo@koganpage.com,+44 20 7278 0433,"45 Gee Street 2nd Floor, London EC1V 3RS",koganpage.com,kpinfo@koganpage.com,80-100,Yes,Medium,"US office in NYC"
Career Press,Traditional,Newburyport MA,USA,"Career development, soft skills, personal finance",submissions@rwwbooks.com,N/A,N/A,redwheelweiser.com,submissions@rwwbooks.com,20-30,Some,High,"Red Wheel/Weiser imprint"
Skyhorse Publishing,Traditional,New York NY,USA,"Sports, nature, history, business, current events",submissions@skyhorsepublishing.com,(212) 643-6816,"307 West 36th Street 11th Floor, NYC 10018",skyhorsepublishing.com,submissions@skyhorsepublishing.com,500+,Some,Medium,"Large independent publisher"
Post Hill Press,Traditional,Nashville TN,USA,"Pop culture, business, self-help, health, Christian",contact@posthillpress.com,(615) 261-4646,Brentwood TN,posthillpress.com,contact@posthillpress.com,80-100,Some,High,"Distributed by S&S"
Turner Publishing,Traditional,Nashville TN,USA,"Business, history, wellness, fiction variety",Via website,(615) 255-2665,"4507 Charlotte Ave, Nashville TN 37209",turnerpublishing.com,Via website,50-75,Unknown,High,"Since 1984. 6000+ titles"
Hay House,Traditional,Carlsbad CA,USA,"Self-help, mind-body-spirit, business, finance",(800) 654-5126 ext 1,(760) 431-7695,"PO Box 5100, Carlsbad CA 92018",hayhouse.com,Agents or workshop attendees only,50,Yes,Low,"Acquired by PRH 2023"
New World Library,Traditional,Novato CA,USA,"Personal growth, spirituality, wellness, business",Via website,N/A,N/A,newworldlibrary.com,Submissions Editor,30-40,Some,High,"Email submissions preferred"
Sounds True,Traditional,Boulder CO,USA,"Spirituality, mind-body, psychology, self-help",acquisitions@soundstrue.com,N/A,N/A,soundstrue.com,acquisitions@soundstrue.com,40-50,Yes,Low,"Strong audio program"
Hierophant Publishing,Traditional,San Antonio TX,USA,"Personal and spiritual growth",submissions@hierophantpublishing.com,N/A,N/A,hierophantpublishing.com,submissions@hierophantpublishing.com,10-20,NO AUDIOBOOKS,TIER 1,"Prime target - no audio"
Morgan James Publishing,Hybrid,Brentwood TN,USA,"Business, entrepreneurship, personal development",Via Submittable,N/A,N/A,morgan-james-publishing.com,morganjamespublishing.submittable.com,50-75,Some,High,"Pioneer hybrid model"
ForbesBooks,Hybrid,Charleston SC,USA,"Business leaders, thought leadership",Via website,$125K-$250K,N/A,forbesbooks.com,Online form,30-50,Some,Medium,"High investment required"
Sound Wisdom,Traditional,Shippensburg PA,USA,"Personal development, business classics",Via website,N/A,N/A,soundwisdom.com,Via website,20-40,Some,High,"Napoleon Hill classics"
New Harbinger Publications,Traditional,Oakland CA,USA,"Evidence-based self-help, mental health",Via website,N/A,Oakland CA,newharbinger.com,Via website,40-60,Some,High,"Employee-owned"
TCK Publishing,Traditional,Phoenix AZ,USA,"Self-help, personal development, business, finance",Via website,N/A,N/A,tckpublishing.com,Via website,20-40,Unknown,High,"50% gross royalties"
Allworth Press,Traditional,New York NY,USA,"Business/self-help for creatives",allworthsubmissions@skyhorsepublishing.com,(212) 643-6816,"307 West 36th Street 11th Floor, NYC 10018",skyhorsepublishing.com/allworth-press,allworthsubmissions@skyhorsepublishing.com,20-25,Unknown,High,"400+ titles"
Business Expert Press,Traditional,Hampton NJ,USA,"Academic/professional business",Via website,N/A,"158 Perryville Road, Hampton NJ 08827",businessexpertpress.com,Via website,50-80,NO AUDIOBOOKS,TIER 1,"Academic focus - no audio"
Entrepreneur Press,Traditional,Irvine CA,USA,"Starting, running, growing businesses",submissions@entrepreneur.com,N/A,N/A,press.entrepreneur.com,submissions@entrepreneur.com,25-40,Some,High,"Entrepreneur Media"
Harriman House,Traditional,Hampshire,UK,"Finance, investing, economics, trading",Via website,N/A,UK,harriman-house.com,Via website,30-50,Some,High,"UK finance publisher"
Profile Books,Traditional,London,UK,"Business, economics, science, history",Via agent only,N/A,London,profilebooks.com,Agent submissions only,80-100,Yes,Low,"Agent required"
Hurst Publishers,Traditional,London,UK,"Politics, history, business, international affairs",Via email,N/A,London,hurstpublishers.com,Via email with synopsis,90,Unknown,High,"50+ years"
Nicholas Brealey,Traditional,London/Boston,UK/USA,"Business, finance, cross-cultural, psychology",Via website,N/A,London/Boston,nicholasbrealey.com,Via website,25-40,Some,Medium,"Hachette UK"
Icon Books,Traditional,London,UK,"Psychology, science, history, self-help",Via email,N/A,UK,iconbooks.com,Via email,N/A,Unknown,High,"Accepts unsolicited"
Panoma Press,Hybrid,UK,UK,"Business, entrepreneurship, self-help",Via website,N/A,UK,panomapress.com,Via website,30-50,Unknown,High,"UK hybrid model"
She Writes Press,Hybrid,Berkeley CA,USA,"Women authors - memoir, fiction, nonfiction",Via website,N/A,N/A,shewritespress.com,Via website,30-50,Unknown,High,"Women-focused"
The Collective Book Studio,Hybrid,San Francisco CA,USA,"Lifestyle, food, coaching/business",Via website,N/A,N/A,thecollectivebook.studio,Via website,15-25,Unknown,High,"Women-owned"
Wonderwell Press,Hybrid,Austin TX,USA,"Self-help, creative nonfiction, transformational",Via Greenleaf,N/A,N/A,wonderwell.press,Via Greenleaf,10-20,Unknown,High,"Greenleaf imprint"
Brown Books Publishing,Hybrid,Dallas TX,USA,"Fiction, nonfiction, business, children's",Via website,N/A,N/A,brownbooks.com,brownbooks.com/submit,40-60,Unknown,High,"Since 1994"
Koehler Books,Hybrid,Virginia Beach VA,USA,"Business, memoir, fiction",Via website,N/A,N/A,koehlerbooks.com,Via website,40-60,Unknown,High,"Traditional deals available"
Lioncrest Publishing,Hybrid,Austin TX,USA,"Entrepreneurs, business professionals",Via website,N/A,N/A,lioncrest.com,Via website,100+,Some,Medium,"Scribe Media"
MindStir Media,Hybrid,Portsmouth NH,USA,"Nonfiction, business, memoir",Via website,N/A,N/A,mindstirmedia.com,Via website,50-80,Unknown,High,"Top Hybrid Publisher"
Authority Publishing,Hybrid,Gold River CA,USA,"Business, self-development, memoir",Via website,$8997+,N/A,authoritypublishing.com,Via website,20-30,Unknown,High,"Since 2008"
Publish Your Purpose,Hybrid,USA,USA,"Thought leaders, diverse voices, nonfiction",Via website,N/A,N/A,publishyourpurpose.com,Via website,20-30,NO AUDIOBOOKS,TIER 1,"Certified B Corp"
Ballast Books,Hybrid,USA,USA,"Business, leadership, memoir",Via website,N/A,N/A,ballastbooks.com,Via website,30-50,Unknown,High,"Authors keep rights"
Hybrid Global Publishing,Hybrid,USA/UK/Australia,Global,"Nonfiction, business, self-help",Via website,N/A,N/A,hybridglobalpublishing.com,Via website,30-50,Unknown,High,"International offices"
Addicus Books,Traditional,Omaha NE,USA,"Health, self-help, psychology, business, investing",Via website,N/A,Omaha NE,addicusbooks.com,Via website,10-20,NO AUDIOBOOKS,TIER 1,"Since 1994 - no audio"
Chicago Review Press,Traditional,Chicago IL,USA,"Nonfiction, history, music, business",Via editor email,N/A,Chicago IL,chicagoreviewpress.com,Via editor email,50,Unknown,High,"Since 1973"
Hatherleigh Press,Traditional,USA,USA,"Health, wellness, fitness, self-help",Via website,N/A,N/A,hatherleighpress.com,Via website,15-25,NO AUDIOBOOKS,TIER 1,"Nonfiction focused"
Graywolf Press,Nonprofit,Minneapolis MN,USA,"Fiction, nonfiction, poetry",Via open periods,N/A,Minneapolis MN,graywolfpress.org,Periodic open submissions,35,Some,Medium,"Pulitzer winners"
Coffee House Press,Nonprofit,Minneapolis MN,USA,"Poetry, fiction, nonfiction, translation",Via open periods,N/A,Minneapolis MN,coffeehousepress.org,Short submission periods,N/A,Unknown,High,"Minneapolis nonprofit"
Akashic Books,Traditional,Brooklyn NY,USA,"Urban literary fiction, political nonfiction",Via website,N/A,Brooklyn NY,akashicbooks.com,Via website,N/A,Unknown,High,"Brooklyn-based"
Deep Vellum,Nonprofit,Dallas TX,USA,"Fiction, nonfiction, poetry, translations",Via website,N/A,Dallas TX,deepvellum.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2013"
Bellevue Literary Press,Nonprofit,NYC,USA,"Narrative nonfiction, literary fiction",Via website,N/A,NYC,blpress.org,Via website,N/A,Some,Medium,"Arts/science"
Chronicle Books,Traditional,San Francisco CA,USA,"Cooking, design, pop culture, home decor",Via website,N/A,San Francisco CA,chroniclebooks.com,Via website,N/A,Some,Medium,"Open submissions"
Page Street Publishing,Traditional,Salem MA,USA,"Wide range including nonfiction",Via website,N/A,Salem MA,pagestreetpublishing.com,Via website,N/A,Unknown,High,"Good distribution"
Schaffner Press,Traditional,Tucson AZ,USA,"Literary fiction, nonfiction, memoir, true crime",tim@schaffnerpress.com,N/A,Tucson AZ,schaffnerpress.com,tim@schaffnerpress.com,N/A,NO AUDIOBOOKS,TIER 1,"50+ titles - no audio"
Quirk Books,Traditional,Philadelphia PA,USA,"How-to, humor, sci-fi, YA",Via website,N/A,Philadelphia PA,quirkbooks.com,Proposals and manuscripts,N/A,Some,Medium,"Philadelphia indie"
Blue Dot Kids Press,Traditional,USA,USA,"Children's picture books, middle grade",Via website,N/A,N/A,bluedotkidspress.com,Via website,10,NO AUDIOBOOKS,TIER 1,"Small children's press"
Chicken Scratch Books,Traditional,USA,USA,"Middle grade fiction",Via website,N/A,N/A,chickenscratchbooks.com,Via website,5-10,NO AUDIOBOOKS,TIER 1,"MG only"
Flashlight Press,Traditional,NYC,USA,"Children's picture books ages 4-8",Via website,N/A,NYC,flashlightpress.com,Via website,2-4,NO AUDIOBOOKS,TIER 1,"Award-winning small press"
Cicada Books,Traditional,UK,UK,"Children's illustrated books",Via website,N/A,UK,cicadabooks.co.uk,Via website,10-12,NO AUDIOBOOKS,TIER 1,"Now Lerner owned"
Spinning Wheel Stories,Traditional,USA,USA,"Children's picture books, early readers, MG",Via website,N/A,N/A,spinningwheelstories.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"New small press"
Curiosity House Books,Traditional,USA,USA,"Children's nonfiction, picture books",Via website,N/A,N/A,curiosityhousebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2014"
Dancing Lemur Press,Traditional,North Carolina,USA,"Middle grade fiction",Via website,N/A,NC,dancinglemurpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"NC-based"
Sleeping Bear Press,Traditional,Michigan,USA,"Children's board books, picture books, MG, YA",Via website,N/A,MI,sleepingbearpress.com,Via website,N/A,Some,Medium,"Well-regarded"
Sky Pony Press,Traditional,New York NY,USA,"Children's PB, CB, MG, YA",Via website,N/A,NYC,skyponypress.com,Via website,20-30,Unknown,High,"Skyhorse imprint"
Charlesbridge,Traditional,Watertown MA,USA,"Children's board books, picture books, readers",Via website,N/A,MA,charlesbridge.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Education focus"
Holiday House,Traditional,NYC,USA,"Children's picture books, grades 1-7+",Via website,N/A,NYC,holidayhouse.com,Via website,N/A,Unknown,High,"Since 1935"
Annick Press,Traditional,Toronto,Canada,"Children's picture books, MG, YA",Via website,N/A,Toronto,annickpress.com,Via website,N/A,Unknown,High,"Canadian children's"
Pajama Press,Traditional,Toronto,Canada,"Children's picture books, MG, YA",Via website,N/A,Toronto,pajamapress.ca,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Canadian literary"
OnStage Publishing,Traditional,USA,USA,"Children's chapter books, MG, YA",Via website,N/A,N/A,onstagepublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Ages 8-18"
